Page URL,Issue Category,Issue Location Description,Fix Suggestion
https://127.0.0.1/photon/docs-v5/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/solutions-to-common-problems/boot-in-emergency-mode/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/solutions-to-common-problems/boot-in-emergency-mode/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/building-images/build-other-images/building-cloud-images/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/file-system-troubleshooting/checking-disk-space/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/file-system-troubleshooting/checking-disk-space/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/solutions-to-common-problems/boot-in-emergency-mode/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/cloud-init-on-photon-os/cloud-init-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/file-system-troubleshooting/checking-disk-space/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/cloud-init-on-photon-os/cloud-init-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/building-images/build-other-images/building-cloud-images/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/cloud-init-on-photon-os/cloud-init-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-network-configuration/setting-up-networking-for-multiple-nics/combining-dhcp-and-static-ip-addresses-with-ipv4-and-ipv6/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-network-configuration/setting-up-networking-for-multiple-nics/combining-dhcp-and-static-ip-addresses-with-ipv4-and-ipv6/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-network-configuration/setting-up-networking-for-multiple-nics/combining-dhcp-and-static-ip-addresses-with-ipv4-and-ipv6/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/command-line-reference/command-line-interfaces/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/command-line-reference/commnad-line-interfaces/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/command-line-reference/command-line-interfaces/photon-network-config-manager-cli/configuring-wireguard-using-network-configuration-manager/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-network-configuration/commands-to-manage-network-service/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-network-configuration/commands-to-manage-network-service/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-network-configuration/commands-to-manage-network-service/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/troubleshooting-tools/common-tools/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/troubleshooting-tools/common-tools/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/troubleshooting-tools/common-tools/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/user-guide/kubernetes-on-photon-os/kubernetes-kubeadm-cluster-on-photon/configuring-a-master-node/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/command-line-reference/command-line-interfaces/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/security-policy/default-firewall-settings/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/security-policy/default-firewall-settings/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
