url	candidate_kind	candidate_name	rank	composite_score	popularity	reputation	integration	documentation	ecosystem	cves_12mo	stars	issues_12mo	language	license	last_release	weblink	summary	confidence_score
https://github.com/openjdk/jdk11u/archive/refs/tags/jdk-11.0.29.tar.gz	self	OpenJDK 11u	0	73.5	65	70	85	80	75	12	850	320	Java	GPL-2.0	2024-07	https://github.com/openjdk/jdk11u	OpenJDK 11 update releases providing Java SE 11 compatible JDK and runtime.	0.1
https://github.com/openjdk/jdk11u/archive/refs/tags/jdk-11.0.29.tar.gz	alternative	Eclipse Temurin	1	80.5	72	82	90	85	82	8	950	180	Java	GPL-2.0	2024-10	https://adoptium.net/temurin	OpenJDK 11 binary builds maintained by Adoptium, direct JVM replacement.
https://github.com/openjdk/jdk11u/archive/refs/tags/jdk-11.0.29.tar.gz	alternative	Amazon Corretto 11	2	75	60	85	88	78	70	6	780	95	Java	GPL-2.0	2024-10	https://aws.amazon.com/corretto	Production-ready OpenJDK 11 distribution with long-term support.
https://github.com/madler/zlib/archive/refs/tags/v1.3.2.tar.gz	self	zlib	0	88.8	85	95	98	90	80	0	5200	35	C	zlib	2024-01	https://zlib.net	Massively spiffy yet delicately unobtrusive compression library implementing DEFLATE.	0.1
https://github.com/madler/zlib/archive/refs/tags/v1.3.2.tar.gz	alternative	zlib-ng	1	83.2	72	92	95	85	75	0	1400	48	C	zlib	2024-05	https://github.com/zlib-ng/zlib-ng	Drop-in zlib replacement focused on performance and modern optimizations.
http://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/make/make-4.4.1.tar.gz	self	make	0	78.8	55	95	92	88	75	0	850	15	C	GPL-3.0-or-later	2023-02	https://www.gnu.org/software/make/	Build automation tool controlling generation of executables and other files from source using Makefiles.	0.1
https://github.com/python-jsonschema/jsonschema/archive/refs/tags/v4.26.0.tar.gz	self	jsonschema	0	87.4	85	95	90	88	82	0	4500	45	Python	MIT	2024-12	https://github.com/python-jsonschema/jsonschema	Python JSON Schema validator supporting Drafts 4-2020-12	0.1
https://github.com/python-jsonschema/jsonschema/archive/refs/tags/v4.26.0.tar.gz	alternative	fastjsonschema	1	78.6	62	95	75	70	88	0	620	12	Python	BSD-3-Clause	2024-10	https://github.com/horejsek/python-fastjsonschema	Fast Python JSON Schema validator with similar API
https://rubygems.org/downloads/rdiscount-2.2.0.2.gem	self	rdiscount	0	58.5	45	95	70	40	30	0	520	2	Ruby	BSD-3-Clause	2018-03	https://github.com/davidfstr/rdiscount	Fast Markdown processor for Ruby, binding to the Discount C library.	0.05
https://rubygems.org/downloads/rdiscount-2.2.0.2.gem	alternative	redcarpet	1	86	85	95	85	80	75	0	4600	15	Ruby	MIT	2023-01	https://github.com/vmg/redcarpet	Fast, extensible Markdown processor for Ruby with C implementation.
https://rubygems.org/downloads/rdiscount-2.2.0.2.gem	alternative	commonmarker	2	75.2	55	90	75	85	80	0	420	12	Ruby	MIT	2024-05	https://github.com/gjtorikian/commonmarker	Ruby wrapper around cmark-gfm for CommonMark-compliant parsing.
https://gitlab.gnome.org/Archive/atk/-/archive/2.38.0/atk-2.38.0.tar.gz	self	atk	0	47.5	25	95	60	40	10	0	12	0	C	LGPL-2.1	2021-08	https://gitlab.gnome.org/Archive/atk	Accessibility Toolkit providing interfaces for assistive technologies in GTK/GNOME applications.	0.05
https://nodejs.org/download/release/v8.17.0/node-v8.17.0.tar.xz	self	Node.js	0	85.5	95	75	95	95	70	12	102000	4200	JavaScript	MIT	2024-07	https://nodejs.org	JavaScript runtime built on V8 for server-side and CLI applications.	0.05
https://nodejs.org/download/release/v8.17.0/node-v8.17.0.tar.xz	alternative	Deno	1	87.4	92	92	70	90	85	2	92000	950	JavaScript	MIT	2024-07	https://deno.com	Secure JavaScript/TypeScript runtime with Node.js compatibility mode.
https://nodejs.org/download/release/v8.17.0/node-v8.17.0.tar.xz	alternative	Bun	2	86.6	88	90	85	85	80	3	72000	1800	JavaScript	MIT	2024-07	https://bun.sh	Fast all-in-one JavaScript runtime with Node.js compatibility layer.
https://github.com/mtrojnar/stunnel/archive/refs/tags/stunnel-5.78.tar.gz	self	stunnel	0	66.5	45	85	80	75	70	1	380	12	C	GPL-2.0-or-later	2024-09	https://www.stunnel.org/	Proxy that adds TLS encryption to existing TCP clients/servers without native SSL support.	0.95
https://github.com/mtrojnar/stunnel/archive/refs/tags/stunnel-5.78.tar.gz	alternative	HAProxy	1	81	85	80	75	90	75	2	4800	45	C	GPL-2.0	2024-10	https://www.haproxy.org/	High-performance TCP/HTTP proxy with native TLS termination and client support.
https://github.com/mtrojnar/stunnel/archive/refs/tags/stunnel-5.78.tar.gz	alternative	nginx	2	79.8	95	75	70	85	65	3	22000	120	C	BSD-2-Clause	2024-10	https://nginx.org/	Lightweight stream and HTTP proxy supporting TLS termination and upstream forwarding.
http://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/sed/sed-4.10.tar.xz	self	sed	0	75.5	45	95	90	85	80	0	280	12	C	GPL-3.0-or-later	2024-01	https://www.gnu.org/software/sed/	GNU stream editor for filtering and transforming text streams	0.1
https://github.com/libvirt/libvirt/archive/refs/tags/v8.10.0.tar.gz	self	libvirt	0	76.5	65	80	85	90	75	3	2400	420	C	LGPL-2.1-or-later	2022-12	https://libvirt.org	Toolkit and daemon for managing platform virtualization on Linux and other OSes.	0.1
https://github.com/rsyslog/rsyslog/archive/refs/tags/v8.2604.0.tar.gz	self	rsyslog	0	76.5	65	85	90	85	70	2	1200	180	C	GPL-3.0-or-later	2024-10	https://www.rsyslog.com/	High-performance system logging daemon with advanced filtering, parsing and output capabilities.	0.75
https://github.com/rsyslog/rsyslog/archive/refs/tags/v8.2604.0.tar.gz	alternative	syslog-ng	1	75.5	55	90	85	80	75	1	850	120	C	GPL-2.0-or-later	2024-09	https://www.syslog-ng.com/	Flexible and scalable syslog daemon with extensive parsing and routing features.
https://strace.io/files/4.26/strace-4.26.tar.xz	self	strace	0	82.4	78	85	92	88	80	2	3200	45	C	LGPL-2.1+	2024-05	https://strace.io	Linux system call tracer and debugger for process/kernel interaction analysis	0.35
https://github.com/vernemq/vernemq/archive/refs/tags/1.12.5.tar.gz	self	vernemq	0	76.5	65	95	80	75	70	0	1200	45	Erlang	Apache-2.0	2023-10	https://vernemq.com	Distributed MQTT message broker implemented in Erlang.	0.2
https://github.com/vernemq/vernemq/archive/refs/tags/1.12.5.tar.gz	alternative	emqx	1	88.8	92	85	90	95	85	2	13500	320	Erlang	Apache-2.0	2024-09	https://www.emqx.io	Scalable MQTT broker with clustering and plugin support.
https://github.com/vernemq/vernemq/archive/refs/tags/1.12.5.tar.gz	alternative	eclipse-mosquitto	2	85.8	85	90	85	88	78	1	8500	110	C	EPL-1.0	2024-06	https://mosquitto.org	Lightweight MQTT broker suitable for edge and IoT deployments.
https://github.com/CESNET/libnetconf2/archive/refs/tags/v2.1.18.tar.gz	self	libnetconf2	0	68.8	45	90	70	65	75	0	85	12	C	BSD-3-Clause	2023-11	https://github.com/CESNET/libnetconf2	C library implementing NETCONF protocol client and server functionality for network configuration.	0.4
https://rubygems.org/downloads/msgpack-1.2.4.gem	self	msgpack	0	79.4	72	95	88	65	70	0	850	12	Ruby	Apache-2.0	2018-07	https://rubygems.org/gems/msgpack	MessagePack implementation for Ruby: efficient binary object serialization library.	0.1
https://github.com/s3fs-fuse/s3fs-fuse/archive/refs/tags/v1.91.tar.gz	self	s3fs-fuse	0	82.5	85	95	80	75	70	0	4500	120	C++	GPL-2.0	2023-03	https://github.com/s3fs-fuse/s3fs-fuse	FUSE-based filesystem backed by Amazon S3 for mounting buckets as local directories	0.1
https://rubygems.org/downloads/nio4r-2.7.0.gem	self	nio4r	0	83.4	78	95	85	80	82	0	920	12	Ruby	MIT	2024-03	https://github.com/socketry/nio4r	Cross-platform asynchronous I/O primitives for Ruby (epoll/kqueue selectors).	0.2
https://github.com/aide/aide/archive/refs/tags/v0.16.2.tar.gz	self	aide	0	74.5	65	95	80	70	60	0	420	12	C	GPL-2.0	2019-12	https://aide.github.io/	File integrity checker that monitors changes to files/directories on Unix-like systems via cryptographic hashes and rules.	0.9
https://github.com/aide/aide/archive/refs/tags/v0.16.2.tar.gz	alternative	samhain	1	70.6	45	92	75	78	70	0	180	5	C	GPL-2.0	2023-01	https://www.la-samhna.de/samhain/	Host-based file integrity and intrusion detection system with centralized logging support.
https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2	self	alsa-utils	0	81.5	75	95	85	80	70	0		20	C	GPL-2.0	2024-05	https://www.alsa-project.org/	Collection of utilities for configuring and managing ALSA sound drivers on Linux systems.	0.05
