Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
abseil-cpp.spec,,,20230125.3-1,20230125.3-3,20230125.3-3,,20230125.3-1,20230125.3-1,20230125.3-3
abupdate.spec,,,,1.0-5,1.0-5,,1.0-5,1.0-5,1.0-5
acl.spec,,2.2.53-1,2.2.53-2,2.3.1-7,2.3.1-6,,2.3.1-2,2.3.1-2,2.3.1-7
aide.spec,,0.16.2-4,0.17.4-5,0.19-1,0.19-1,,0.17.4-6,0.17.4-6,0.19-1
alsa-lib.spec,,1.1.9-2,1.2.3.2-4,1.2.8-4,1.2.8-3,,1.2.8-1,1.2.8-1,1.2.8-4
alsa-utils.spec,,1.1.7-2,1.2.3-2,1.2.8-4,1.2.8-4,,1.2.8-2,1.2.8-2,1.2.8-4
alternatives.spec,,,,1.32-3,,,,,1.32-2
amdvlk.spec,,,2023.Q1.3-2,2023.Q1.3-5,2023.Q1.3-5,,2023.Q1.3-5,2023.Q1.3-5,2023.Q1.3-5
ansible-community-general.spec,,5.6.0-2,5.6.0-3,12.2.0-2,10.7.0-1,,8.1.0-1,8.1.0-1,12.2.0-1
ansible-community-general.spec,90,,,10.7.0-1.1.1,,,,,
ansible-community-general.spec,91,,,,,,,,10.7.0-1.1
ansible-posix.spec,,1.4.0-2,1.4.0-3,2.1.0-2,2.0.0-1,,1.5.2-1,1.5.2-1,2.1.0-1
ansible-posix.spec,90,,,2.0.0-1.1.1,,,,,
ansible-posix.spec,91,,,,,,,,2.0.0-1.1
ansible.spec,,2.11.12-3,2.14.12-2,2.20.4-2,2.18.6-1,,2.16.2-1,2.16.2-1,2.20.4-1
ansible.spec,90,,,2.18.6-1.1.1,,,,,
ansible.spec,91,,,,,,,,2.18.6-1.1
ant-contrib.spec,,1.0b3-17,1.0b3-20,,1.0b3-20,,1.0b3-18,1.0b3-18,
ant-contrib.spec,90,,,1.0b3-21.1,,,,,1.0b3-21.1
apache-ant.spec,,1.10.12-3,1.10.10-7,1.10.12-8,1.10.12-6,,1.10.12-3,1.10.12-3,1.10.12-8
apache-maven.spec,,3.6.3-3,3.9.0-3,3.9.0-6,3.9.0-5,,3.9.0-3,3.9.0-3,3.9.0-6
apache-tomcat-9.spec,,,,,,,9.0.86-1,9.0.86-1,
apache-tomcat-native.spec,,1.2.24-3,1.2.24-7,2.0.3-6,2.0.3-6,,2.0.3-5,2.0.3-5,2.0.3-6
apache-tomcat.spec,,8.5.99-1,8.5.100-1,,,,10.1.19-1,10.1.19-1,
apache-tomcat10.spec,,,,10.1.53-3,10.1.46-1,,,,10.1.53-3
apache-tomcat11.spec,,,,11.0.21-1,,,,,11.0.21-1
apache-tomcat9.spec,,,9.0.116-1,9.0.116-3,9.0.109-1,,,,9.0.116-3
apparmor.spec,,2.13-19,3.0.0-19,4.1.6-3,3.1.2-17,,3.1.2-15,3.1.2-15,4.1.6-2
apparmor.spec,90,,,3.1.2-17.1.1,,,,,
apparmor.spec,91,,,,,,,,3.1.2-17.1
apr-util.spec,,1.6.1-5,1.6.3-4,1.6.3-10,1.6.3-7,,1.6.3-8,1.6.3-8,1.6.3-8
apr-util.spec,90,,,1.6.3-7.1.1,,,,,
apr-util.spec,91,,,,,,,,1.6.3-7.1
apr.spec,,1.6.5-3,1.7.2-3,1.7.5-3,1.7.5-3,,1.7.4-3,1.7.4-3,1.7.5-3
argon2.spec,,20190702-2,20190702-2,,20190702-3,,20190702-3,20190702-3,20190702-3
argon2.spec,90,,,20190702-3.1,,,,,
asciidoc.spec,,8.6.9-4,,,,,,,
asciidoc3.spec,,3.2.0-1,3.2.0-4,3.2.3-7,3.2.3-5,,3.2.3-3,3.2.3-3,3.2.3-6
asciidoc3.spec,90,,,3.2.3-5.1.1,,,,,
asciidoc3.spec,91,,,,,,,,3.2.3-5.1
at-spi2-core.spec,,,2.45.91-5,2.60.4-1,2.46.0-7,,2.46.0-8,2.46.0-8,2.46.0-7
at-spi2-core.spec,90,,,2.46.0-7.1,,,,,
atftp.spec,,0.7.5-1,0.7.5-3,0.8.1-2,0.8.0-8,,0.8.0-7,0.8.0-7,0.8.0-10
atk.spec,,,2.38.0-3,,2.38.0-3,,2.38.0-1,2.38.0-1,2.38.0-3
atk.spec,90,,,2.38.0-3.0.1,,,,,
attr.spec,,2.4.48-1,2.4.48-2,2.5.1-6,2.5.1-6,,2.5.1-2,2.5.1-2,2.5.1-6
audit.spec,,2.8.5-31,2.8.5-34,4.1.3-2,3.0.9-27,,3.0.9-17,3.0.9-17,4.1.3-1
audit.spec,90,,,3.0.9-27.1.1,,,,,
audit.spec,91,,,,,,,,3.0.9-27.1
