Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/20230125.3/abseil-cpp-20230125.3.tar.gz,200,20260107.1,https://github.com/abseil/abseil-cpp/releases/download/20260107.1/abseil-cpp-20260107.1.tar.gz,200,abseil-cpp,F5012885D6B6844A9CF5ED92AD5468B8757DB33DFE1364BFB232FFF928E06C550C7EB4557F45186A8AC4D18B178DF9BE267681ABAB4A6DE40823B574AFBE9960,abseil-cpp-20260107.1.tar.gz,,
abupdate.spec,abupdate,,0,,,,abupdate,,,Info: Source0 contains a VMware internal url address.,
acl.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.3.1.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.19.tar.gz,200,0.19.3,https://github.com/aide/aide/archive/refs/tags/v0.19.3.tar.gz,200,aide,F2AE83F0254C81D077CB597388C38F314D207220B29DE793F85AAC9B13C66243AE5646607F1E12DCEEC0756B677F4557EDDAD0B16FB661AB87D56AD7B5E87CB2,aide-0.19.3.tar.gz,,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.8.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2,,
alsa-utils.spec,https://www.alsa-project.org/files/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.8.tar.bz2,200,1.2.15.2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2,200,alsa-utils,13CA15A63BCBF81A4643EF03E391200D7523335BC300E290756089C4CFECCB9773CF6B77F9FCF4B80E6AA2E8C5E33A2C86C9173F1FEB480AEDF5ECDA0F7C47CD,alsa-utils-1.2.15.2.tar.bz2,,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.gz,200,2025.Q2.1,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2025.Q2.1.tar.gz,200,amdvlk,BCD3528660A4886D467546DB727355E5741A90F2354FA2CF6C0AD6574310DB9A5393CE9BD5ADF692C600CB8771D350C4F1420E089FA2D0B3D179197C95D98B26,amdvlk-2025.Q2.1.tar.gz,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/10.7.0.tar.gz,200,12.6.0,https://github.com/ansible-collections/community.general/archive/refs/tags/12.6.0.tar.gz,200,ansible-community-general,98BF45856D301F53304AC52F539F60C341F845A9622CA82898826441CEABA8536595BC8187CF2BBCC01D9A7210FD655CBAF88E8D3C572D99ADC522EB04055312,ansible-community-general-12.6.0.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.0.0.tar.gz,200,2.1.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.1.0.tar.gz,200,ansible-posix,005F958F40239C2938486C2CCB39A35FF0BDA9208B0B7B52159AACD86375ECF118E726FD78ADB74443680F0DC1E5AE2FBF04116B735D22649E9EC0184175D094,ansible-posix-2.1.0.tar.gz,,
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.18.6.tar.gz,200,2.20.5,https://github.com/ansible/ansible/archive/refs/tags/v2.20.5.tar.gz,200,ansible,6DB0A899758EC7CA2CF2A751FB247F5574CC5121DDECE7001385387D7504ACFD9E7F1B8BFFFFA4348029344BDFF2161BDEECCDB914F2D9F2B5C085C383F7A70B,ansible-2.20.5.tar.gz,,
ant-contrib.spec,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.broadcom.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,http://apache.mirrors.lucidnetworks.net/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.17,https://github.com/apache/ant/archive/refs/tags/rel/1.10.17.tar.gz,200,apache-ant,808085E7245BDBD5692DE4AB966E63E0C9D93FD98F37D8A9248A8FD4526538B3948BDDBE66467CDB2660B2EDB8DD4F7C4CF36443CB01C6F306BCA8D80980E6B7,apache-ant-1.10.17.tar.gz,,
apache-maven.spec,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.9.0.tar.gz,200,,,,apache-maven,,,,
apache-tomcat-native.spec,https://dlcdn.apache.org/tomcat/tomcat-connectors/native/%{version}/source/tomcat-native-%{version}-src.tar.gz,https://github.com/apache/tomcat-native/archive/refs/tags/2.0.3.tar.gz,200,2.0.14,https://github.com/apache/tomcat-native/archive/refs/tags/2.0.14.tar.gz,200,apache-tomcat-native,249DDFF94219A6269329CC590BB9FFC16592ECF8A36D2374E07F55A6FB827140C35D9A9B1C84B18160AC372D9BB64AA2445A8C8F8FBDD4115994756D21397AB1,apache-tomcat-native-2.0.14.tar.gz,,
