Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/20230125.3/abseil-cpp-20230125.3.tar.gz,200,,,,abseil-cpp,,,,
abupdate.spec,abupdate,,404,,,,abupdate,,,Info: Source0 contains a VMware internal url address.,
acl.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.3.1.tar.gz,200,2.4.0,http://download.savannah.gnu.org/releases/acl/acl-2.4.0.tar.gz,200,acl,91F82D5620CA35977E917B7F678C86136A48C2500829B31A19AEE7F5BE8137A7A48A049DC4D51E5F8DC3328BE248756BBFEE77565EFF6C8A4C8FC79CB850EE0C,acl-2.4.0.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.17.4.tar.gz,200,0.19.3,https://github.com/aide/aide/archive/refs/tags/v0.19.3.tar.gz,200,aide,F2AE83F0254C81D077CB597388C38F314D207220B29DE793F85AAC9B13C66243AE5646607F1E12DCEEC0756B677F4557EDDAD0B16FB661AB87D56AD7B5E87CB2,aide-0.19.3.tar.gz,,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.8.tar.bz2,200,1.2.16.1,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.16.1.tar.bz2,200,alsa-lib,2DDC5EEF7FAFE73BA6D8E4F79640A5AAA6E27AAC2C77075FDA9EE8AE61727BDDFCDA661E257057D8CF2F1647897D33153703F9BA913574AE7F1FBEC53DB3FA22,alsa-lib-1.2.16.1.tar.bz2,,
alsa-utils.spec,https://www.alsa-project.org/files/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.8.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.16.tar.bz2,200,alsa-utils,288C042F5ACB8A7CF1B0A0C25327C74E0BCE126124253BDB2D0DC2630B8BC80B5E5D694DE97738D031377FD82D887DB32AF1C4B27C6D940357B318D0A3EF02CF,alsa-utils-1.2.16.tar.bz2,,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.gz,200,2025.Q2.1,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2025.Q2.1.tar.gz,200,amdvlk,BCD3528660A4886D467546DB727355E5741A90F2354FA2CF6C0AD6574310DB9A5393CE9BD5ADF692C600CB8771D350C4F1420E089FA2D0B3D179197C95D98B26,amdvlk-2025.Q2.1.tar.gz,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/8.1.0.tar.gz,200,13.1.0,https://github.com/ansible-collections/community.general/archive/refs/tags/13.1.0.tar.gz,200,ansible-community-general,EE770A9F6147D28FED134645ACD8B1F959A57F7C6E9AA55702A57968F3471CC862CB17F61A365BD2E4DFDBD2F8C7B767009F7083833994F9EDDF3DACD08B1D94,ansible-community-general-13.1.0.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.5.2.tar.gz,200,2.2.1,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.2.1.tar.gz,200,ansible-posix,CAAE724ADE669F58552474C9630EAA1E917ADC01B55A26B4E3F90DE2E84BE3607005A82EE610BDD129E39C95307B757D9A17189BE2246EE03D83AECA76DA16F6,ansible-posix-2.2.1.tar.gz,,
ansible.spec,http://releases.ansible.com/ansible/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.16.2.tar.gz,200,2.21.1,https://github.com/ansible/ansible/archive/refs/tags/v2.21.1.tar.gz,200,ansible,9885A9C13811F86D6BD53D5FC91D68F70834CA961D6552FE86B3B9EAB730D514DBD2563A54B46BBF697B5D76FA39D79FF5FF0A7BE9A5F2DB973CBE6E05012B3C,ansible-2.21.1.tar.gz,,
