Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
abseil-cpp.spec,,,,20230125.3-1,20230125.3-2,20230125.3-2,,20230125.3-1,20230125.3-1
abupdate.spec,,,,,1.0-5,1.0-5,,1.0-5,1.0-5
acl.spec,2.2.52-2,2.2.52-5,2.2.53-1,2.2.53-2,2.3.1-4,2.3.1-4,,2.3.1-2,2.3.1-2
aide.spec,,,0.16.2-4,0.17.4-4,0.17.4-6,0.17.4-6,,0.17.4-6,0.17.4-6
alsa-lib.spec,,,1.1.9-2,1.2.3.2-3,1.2.8-2,1.2.8-2,,1.2.8-1,1.2.8-1
alsa-utils.spec,,,1.1.7-2,1.2.3-2,1.2.8-3,1.2.8-3,,1.2.8-2,1.2.8-2
amdvlk.spec,,,,2023.Q1.3-2,2023.Q1.3-4,2023.Q1.3-4,,2023.Q1.3-5,2023.Q1.3-5
ansible-community-general.spec,,,5.6.0-2,5.6.0-3,6.3.0-3,6.3.0-3,,8.1.0-1,8.1.0-1
ansible-posix.spec,,,1.4.0-2,1.4.0-3,1.5.1-3,1.5.1-3,,1.5.2-1,1.5.2-1
ansible.spec,,2.9.27-1,2.11.12-3,2.14.12-2,2.14.12-3,2.14.12-3,,2.16.2-1,2.16.2-1
ant-contrib.spec,1.0b3-15,1.0b3-13,1.0b3-17,1.0b3-18,1.0b3-19,1.0b3-19,,1.0b3-18,1.0b3-18
apache-ant.spec,1.10.8-4,1.10.8-3,1.10.12-3,1.10.10-5,1.10.12-4,1.10.12-4,,1.10.12-3,1.10.12-3
apache-maven.spec,3.5.4-3,3.5.0-7,3.6.3-3,3.6.3-5,3.9.0-5,3.9.0-4,,3.9.0-3,3.9.0-3
apache-tomcat-9.spec,,,,,,,,9.0.86-1,9.0.86-1
apache-tomcat-native.spec,,,1.2.24-3,1.2.24-6,2.0.3-6,2.0.3-6,,2.0.3-5,2.0.3-5
apache-tomcat.spec,8.5.72-2,8.5.78-1,8.5.99-1,8.5.99-1,,,,10.1.19-1,10.1.19-1
apache-tomcat10.spec,,,,,10.1.34-2,10.1.34-2,,,
apache-tomcat9.spec,,,,9.0.98-1,9.0.98-1,9.0.97-2,,,
apparmor.spec,,2.13-7,2.13-19,3.0.0-19,3.1.2-15,3.1.2-14,,3.1.2-15,3.1.2-15
apr-util.spec,1.5.4-8,1.5.4-12,1.6.1-5,1.6.3-3,1.6.3-4,1.6.3-4,,1.6.3-8,1.6.3-8
apr.spec,1.5.2-7,1.5.2-7,1.6.5-3,1.7.2-3,1.7.5-2,1.7.5-2,,1.7.4-2,1.7.4-2
argon2.spec,,,20190702-2,20190702-2,20190702-3,20190702-3,,20190702-3,20190702-3
asciidoc.spec,8.6.9-2,8.6.9-4,8.6.9-4,,,,,,
asciidoc3.spec,,,3.2.0-1,3.2.0-3,3.2.3-4,3.2.3-4,,3.2.3-3,3.2.3-3
at-spi2-core.spec,,,,2.45.91-5,2.46.0-7,2.46.0-6,,2.46.0-8,2.46.0-8
atftp.spec,0.7.1-11,0.7.1-12,0.7.5-1,0.7.5-3,0.8.0-7,0.8.0-7,,0.8.0-7,0.8.0-7
atk.spec,,,,2.38.0-3,2.38.0-3,2.38.0-2,,2.38.0-1,2.38.0-1
attr.spec,2.4.47-3,2.4.47-4,2.4.48-1,2.4.48-2,2.5.1-4,2.5.1-4,,2.5.1-2,2.5.1-2
audit.spec,2.5.2-3,2.7.5-16,2.8.5-31,2.8.5-34,3.0.9-22,3.0.9-22,,3.0.9-17,3.0.9-17
aufs-util.spec,,20170206-2,4.14-3,5.0-2,6.0-3,6.0-3,,6.0-2,6.0-2
authbind.spec,2.1.2-2,2.1.2-1,2.1.2-2,2.1.3-1,2.1.3-3,2.1.3-3,,2.1.3-2,2.1.3-2
autoconf-archive.spec,,,2018.03.13-1,2019.01.06-1,2022.09.03-2,2022.09.03-2,,2022.09.03-1,2022.09.03-1
autoconf.spec,2.69-4,2.69-6,2.69-8,2.69-10,2.71-6,2.71-6,,2.71-3,2.71-3
autoconf213.spec,,,2.13-1,,,,,,
autofs.spec,5.1.3-1,5.1.3-1,5.1.6-2,5.1.6-1,5.1.8-3,5.1.8-3,,5.1.8-2,5.1.8-2
autogen.spec,5.18.7-2,5.18.12-2,5.18.16-2,5.18.16-4,5.18.16-8,5.18.16-8,,5.18.16-6,5.18.16-6
automake.spec,1.15-2,1.15-4,1.16.1-1,1.16.1-3,1.16.5-3,1.16.5-3,,1.16.5-1,1.16.5-1
aws-sdk-cpp.spec,,1.4.33-5,1.4.33-2,1.4.33-5,1.11.117-3,1.11.117-3,,1.11.117-3,1.11.117-3
backward-cpp.spec,1.3-1,1.3-1,1.4-4,1.5-2,1.6-3,1.6-3,,1.6-2,1.6-2
bash-completion.spec,,,,,,2.15.0-1,,2.15.0-1,2.15.0-1
bash.spec,4.3.48-5,4.4.18-1,4.4.18-4,5.0-5,5.2-7,5.2-6,,5.2-4,5.2-4
bats.spec,,,,1.7.0-1,1.8.2-2,1.8.2-2,,1.8.2-1,1.8.2-1
bazel.spec,,,,6.1.2-4,5.3.2-6,5.3.2-6,,5.3.2-5,5.3.2-5
bc.spec,1.06.95-3,1.06.95-3,1.07.1-3,1.07.1-4,1.07.1-5,1.07.1-5,,1.07.1-4,1.07.1-4
bcc.spec,,,0.16.0-3,0.25.0-2,0.28.0-3,0.28.0-2,,0.28.0-1,0.28.0-1
bindutils.spec,9.16.27-1,9.16.33-1,9.18.27-1,9.18.27-1,9.20.0-2,9.20.0-2,,9.20.0-1,9.20.0-1
binutils-aarch64-linux-gnu.spec,,,,2.35-7,,,,,
binutils.spec,2.32-5,2.32-6,2.32-13,2.35-14,2.39-9,2.39-9,,2.39-7,2.39-7
bison.spec,3.0.4-3,3.6-1,3.1-1,3.7.6-1,3.8.2-6,3.8.2-6,,3.8.2-3,3.8.2-3
blktrace.spec,1.1.0-3,1.1.0-3,1.2.0-3,1.2.0-3,1.3.0-2,1.3.0-2,,1.3.0-1,1.3.0-1
bluez-tools.spec,,,0.2.0.20140808-3,0.2.0.20140808-4,0.2.0.20140808-7,0.2.0.20140808-7,,0.2.0.20140808-7,0.2.0.20140808-7
bluez.spec,,,5.71-1,5.71-1,5.71-2,5.71-2,,5.71-2,5.71-2
boost.spec,1.60.0-3,1.66.0-1,1.66.0-1,1.74.0-2,1.80.0-2,1.80.0-2,,1.80.0-1,1.80.0-1
bpftrace.spec,,,0.11.1-3,0.16.0-3,0.21.2-1,0.18.0-2,,0.18.0-3,0.18.0-3
bridge-utils.spec,1.5-3,1.6-1,1.6-1,1.6-1,1.7.1-2,1.7.1-2,,1.7.1-1,1.7.1-1
btrfs-progs.spec,4.4-2,4.10.2-1,4.19-1,5.7-3,6.1.3-2,6.1.3-2,,6.1.3-1,6.1.3-1
bubblewrap.spec,,0.1.8-3,0.3.0-3,0.4.1-1,0.7.0-2,0.7.0-2,,0.7.0-1,0.7.0-1
build-essential.spec,,,,,0.1-6,0.1-6,,,
byacc.spec,,,,,2.0.20221106-2,2.0.20221106-2,,2.0.20221106-1,2.0.20221106-1
bzip2.spec,1.0.6-7,1.0.6-10,1.0.8-2,1.0.8-4,1.0.8-7,1.0.8-7,,1.0.8-5,1.0.8-5
bzr.spec,2.7.0-1,2.7.0-1,2.7.0-3,,,,,,
c-ares.spec,1.18.1-1,1.16.1-2,1.19.1-2,1.19.1-2,1.19.1-3,1.19.1-3,,1.18.1-1,1.18.1-1
c-rest-engine.spec,1.2-5,1.2-7,1.2-5,1.2-8,,,,,
ca-certificates-nxtgn-openssl.spec,,,20200811-1,,,,,,
ca-certificates.spec,20190521-1,20190521-1,20190521-3,20230315-2,20230315-6,20230315-6,,20230315-8,20230315-8
cairo.spec,1.16.0-2,1.16.0-2,1.16.0-4,1.17.2-7,1.17.6-10,1.17.6-10,,1.17.6-10,1.17.6-10
calico-bgp-daemon.spec,0.2.2-6,0.2.2-15,0.2.2-30,0.2.2-28,0.2.2-22,0.2.2-22,,0.2.2-16,0.2.2-16
calico-bird.spec,0.3.1-1,0.3.3-1,0.3.3-2,0.3.3-3,0.3.3-4,0.3.3-4,,0.3.3-3,0.3.3-3
calico-cni.spec,3.6.1-7,3.21.0-7,,,,,,,
calico-confd.spec,0.14.0-6,0.16.0-11,,,,,,0.16.0-15,0.16.0-15
calico-felix.spec,2.6.0-7,3.12.3-11,,,,,,,
calico-k8s-policy.spec,1.0.0-7,3.21.0-7,,,,,,,
calico-libnetwork.spec,1.1.0-6,1.1.0-17,1.1.0-32,1.1.3-27,1.1.3-23,1.1.3-23,,1.1.3-16,1.1.3-16
calico.spec,3.6.1-6,3.12.3-11,3.26.1-7,3.26.4-4,3.26.4-7,3.26.4-5,,3.26.4-1,3.26.4-1
capstone.spec,,,4.0.2-1,4.0.2-1,4.0.2-2,4.0.2-2,,4.0.2-1,4.0.2-1
cassandra.spec,3.11.12-1,3.11.12-1,3.11.12-3,4.0.10-4,4.0.10-7,4.0.10-6,,4.0.10-1,4.0.10-1
cdrkit.spec,1.1.11-3,1.1.11-4,1.1.11-5,1.1.11-5,1.1.11-6,1.1.11-6,,1.1.11-5,1.1.11-5
ceph-deploy.spec,,1.5.39-1,,,,,,,
