Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/archive/20230125.3/abseil-cpp-20230125.3.tar.gz,200,20250127.0,https://github.com/abseil/abseil-cpp/archive/20250127.0/abseil-cpp-20250127.0.tar.gz,200,abseil-cpp,%{name},abseil-cpp-20250127.0.tar.gz
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://download.savannah.gnu.org/releases/acl/acl-2_3_2.tar.gz,0,acl,%{name},
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.17.4.tar.gz,200,0.18.8,https://github.com/aide/aide/archive/refs/tags/v0.18.8.tar.gz,200,aide,%{name},aide-0.18.8.tar.gz
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.3.2.tar.bz2,200,1.2.13,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.13.tar.bz2,200,alsa-lib,alsa-lib,alsa-lib-1.2.13.tar.bz2
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.3.tar.bz2,200,1.2.13,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.13.tar.bz2,200,alsa-utils,alsa-utils,alsa-utils-1.2.13.tar.bz2
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.xz,200,Warning: Manufacturer may changed version packaging format.,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/amdvlk-2025_q1_1.tar.xz,404,amdvlk,%{name},
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.14.12.tar.gz,200,2.18.2,https://github.com/ansible/ansible/archive/refs/tags/v2.18.2.tar.gz,200,ansible,%{name},ansible-2.18.2.tar.gz
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,10.3.0,https://github.com/ansible-collections/community.general/archive/refs/tags/10.3.0.tar.gz,200,ansible-community-general,%{name}-%{version},ansible-community-general-10.3.0.tar.gz
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.0.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.0.0.tar.gz,200,ansible-posix,%{name}-%{version},ansible-posix-2.0.0.tar.gz
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,Info: Source0 contains a VMware internal url address.,,,ant-contrib,%{name},
apache-ant.spec,http://apache.mirrors.lucidnetworks.net//ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.10.tar.gz,200,1.10.15,https://github.com/apache/ant/archive/refs/tags/rel/1.10.15.tar.gz,200,apache-ant,%{name} hamcrest maven-ant-tasks,apache-ant-1.10.15.tar.gz
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,3.9.9,https://github.com/apache/maven/archive/refs/tags/maven-3.9.9.tar.gz,200,apache-maven,%{name},maven-3.9.9.tar.gz
apache-tomcat.spec,https://archive.apache.org/dist/tomcat/tomcat-8/v%{version}/src/%{name}-%{version}-src.tar.gz,https://github.com/apache/tomcat/archive/refs/tags/8.5.99.tar.gz,200,8.5.100,https://github.com/apache/tomcat/archive/refs/tags/8.5.100.tar.gz,200,apache-tomcat,%{name} base,apache-tomcat-8.5.100.tar.gz
apache-tomcat9.spec,https://archive.apache.org/dist/tomcat/tomcat-9/v%{version}/src/%{_origname}-%{version}-src.tar.gz,https://archive.apache.org/dist/tomcat/tomcat-9/v9.0.98/src/%{_origname}-9.0.98-src.tar.gz,substitution_unfinished,(same version),,,apache-tomcat,%{_origname} base,
apache-tomcat-native.spec,http://apachemirror.wuchna.com/tomcat/tomcat-connectors/native/%{version}/source/%{srcname}-%{version}-src.tar.gz,https://github.com/apache/tomcat-native/archive/refs/tags/1.2.24.tar.gz,200,2.0.8,https://github.com/apache/tomcat-native/archive/refs/tags/2.0.8.tar.gz,200,apache-tomcat-native,%{srcname},apache-tomcat-native-2.0.8.tar.gz
apparmor.spec,https://launchpad.net/apparmor/3.0/3.0/+download/%{name}-%{version}.tar.gz,https://launchpad.net/apparmor/3.1/3.0.0/+download/apparmor-3.0.0.tar.gz,404,Warning: Manufacturer may changed version packaging format.,https://launchpad.net/apparmor/4.0/4.0/+download/apparmor-4_0_3.tar.gz,404,apparmor,%{name},
apr.spec,http://archive.apache.org/dist/%{name}/%{name}-%{version}.tar.gz,https://github.com/apache/apr/archive/refs/tags/1.7.2.tar.gz,200,1.7.5,https://github.com/apache/apr/archive/refs/tags/1.7.5.tar.gz,200,apr,%{name},apr-1.7.5.tar.gz
apr-util.spec,http://archive.apache.org/dist/apr/%{name}-%{version}.tar.gz,https://github.com/apache/apr-util/archive/refs/tags/1.6.3.tar.gz,200,(same version),,,apr-util,%{name},
argon2.spec,%{name}-%{version}.tar.gz,https://github.com/P-H-C/phc-winner-argon2/archive/refs/tags/20190702.tar.gz,200,(same version),,,argon2,argon2,
asciidoc3.spec,https://asciidoc3.org/%{name}-%{version}.tar.gz,https://gitlab.com/asciidoc3/asciidoc3/-/archive/v3.2.0/asciidoc3-v3.2.0.tar.gz,200,3.2.3,https://gitlab.com/asciidoc3/asciidoc3/-/archive/v3.2.3/asciidoc3-v3.2.3.tar.gz,200,asciidoc3,%{name},asciidoc3-v3.2.3.tar.gz
