# Docker Engine SDK version -> REST API version mapping
# Source: https://docs.docker.com/reference/api/engine/#api-version-matrix
# Format: sdk_major_min,sdk_major_max,api_version
# The SDK version is the docker/docker Go module major.minor version.
# When go.mod has "github.com/docker/docker vX.Y.Z", X.Y is the SDK version.
1.12,1.12,1.24
1.13,1.13,1.25
17.03,17.03,1.26
17.04,17.04,1.28
17.05,17.05,1.29
17.06,17.06,1.30
17.07,17.07,1.31
17.09,17.09,1.32
17.10,17.10,1.33
17.11,17.11,1.34
17.12,17.12,1.35
18.02,18.02,1.36
18.03,18.05,1.37
18.06,18.06,1.38
18.09,18.09,1.39
19.03,19.03,1.40
20.10,20.10,1.41
23.0,23.0,1.42
24.0,24.0,1.43
25.0,25.0,1.44
26.0,26.1,1.45
27.0,27.1,1.46
27.2,27.5,1.47
28.0,28.0,1.48
28.1,28.1,1.49
28.2,28.2,1.50
28.3,28.5,1.51
29.0,29.1,1.52
29.2,29.99,1.53
